UNIPROT	SYMBOL
E7ERX9	KIF13B
E7ERY9	ATP2B1
E7ES68	ELAC2
E7ES84	KNTC1
E7ESG2	CLSPN
E7ESI2	CDK2
E7ESJ6	HDAC3
E7ESL0	MRPL22
E7ESM3	EIF3M
E7ESS4	ICAM1
E7EST3	TTC9C
E7ESY4	MTA1
E7ETC2	PPP3CA
E7ETF9	CEP250
E7ETK0	RPS24
E7ETK5	IMPDH2
E7ETR0	RUVBL1
E7ETY4	MARK2
E7ETY7	GPX8
E7EU13	ARAP1
E7EU81	GOLGB1
E7EU96	CSNK2A1
E7EUB3	CTBP1
E7EUH7	PUS7
E7EUL7	ITPRID2
E7EUN9	DUS2
E7EUP3	KAT7
E7EUT5	GAPDH
E7EUV9	SLBP
E7EV59	ATP6V1C1
E7EV89	KDM5A
E7EVJ5	CYFIP2
E7EW05	SDAD1
E7EW20	MYO6
E7EW25	AACS
E7EWK3	DHX36
E7EWP0	NDUFB5
E7EWZ0	NDUFB9
E7EX41	DDX55
E7EX44	CALD1
E7EXA6	CHTF18
E9PAN7	RPS6KA1
E9PAV3	NACA
E9PB61	ALYREF
E9PB90	HK2
E9PBC1	EPN2
E9PBC3	C5orf34
E9PBF6	LMNB1
E9PBL0	HERC5
E9PBL8	COG1
E9PC15	AGK
E9PC49	SIRT1
E9PC61	TENT4B
E9PCB3	CTSB
E9PCB6	NLN
E9PCJ7	UBR7
E9PCX2	AKR1B1
E9PDD2	VCAM1
E9PDH6	EZH2
E9PDQ8	SUCLG2
E9PDT6	IQGAP2
E9PDW2	OXCT1
E9PDY7	PHLDB2
E9PE17	MRPS17
E9PE20	SRP9
E9PE29	ZNF106
E9PE37	RAB2B
E9PEE8	ITGB6
E9PEI0	CDCA2
E9PEJ4	DLAT
E9PEM5	LRBA
E9PER6	PDPK1
E9PES4	KIF3A
E9PEW0	USP36
E9PEX6	DLD
E9PF05	SUMF1
E9PF19	TBL2
E9PF25	MLH1
E9PF58	ARPC1A
E9PFB9	CCDC18
E9PFD2	UMPS
E9PFE2	GTF2IRD1
E9PFK5	NOP14
E9PFK9	RABGEF1
E9PFL1	MED24
E9PFR3	PPP2R5D
E9PG35	MCCC1
E9PG40	APP
E9PG46	AAK1
E9PG71	EPHA4
E9PGC5	PTPRK
E9PGE5	TBC1D23
E9PGM4	GBE1
E9PGP6	PRKAG2
E9PGT6	COPS8
E9PGY2	DNAAF5
E9PHH9	POLR3C
E9PHN6	GSTM2
E9PHS0	LANCL1
E9PHT6	PANK4
E9PHY1	LRP5
E9PHY5	EPB41L2
E9PHZ2	CHORDC1
E9PI14	MRPL16
E9PI21	HSD17B12
E9PI32	STT3A
E9PI39	EEF1D
E9PI41	EXOSC4
E9PI54	RAD51
E9PI65	HSPA8
E9PI66	RAD51C
E9PI68	SPCS2
E9PI70	CHID1
E9PI74	SLC25A22
E9PI78	MRPL49
E9PI87	HTATIP2
E9PI99	NFYC
E9PIA2	PLEC
E9PIA9	CAPN1
E9PID5	PPFIA1
E9PIE3	CAVIN3
E9PIE4	MTCH2
E9PIF2	DDX10
E9PIF4	NEU1
E9PII7	MUS81
E9PIJ1	AMPD2
E9PIK5	RNH1
E9PIL8	SF3B2
E9PIM1	CPSF1
E9PIM3	INTS4
E9PIN0	ATM
E9PIQ6	POLA2
E9PIQ7	HAX1
E9PIU7	POLR2G
E9PIU8	ECHDC1
E9PIX0	HGH1
E9PIY1	PACSIN3
E9PIZ8	NDUFB8
E9PJ06	CSTF3
E9PJ07	EDRF1
E9PJ21	HYOU1
E9PJ24	PHRF1
E9PJ36	VPS51
E9PJ44	DERA
E9PJ60	DDX20
E9PJA7	BCLAF1
E9PJC0	PTP4A2
E9PJC6	AHNAK
E9PJD9	RPL27A
E9PJE7	NDUFS3
E9PJF4	CLNS1A
E9PJF7	TPT1
E9PJG4	FDFT1
E9PJG8	TKFC
E9PJH4	RPS3
E9PJK2	EED
E9PJK7	CSDE1
E9PJN6	NAT10
E9PJP2	SOGA3
E9PJP3	NUCB2
E9PJQ6	TMEM126B
E9PJR7	PKP3
E9PJW6	FIBP
E9PJZ4	MED17
E9PK25	CFL1
E9PK26	SNX15
E9PK45	FTH1
E9PK47	PYGL
E9PK59	SCYL1
E9PK85	RRAS2
E9PKA1	CELF1
E9PKC6	CD44
E9PKD5	PSMC3
E9PKE7	TNKS1BP1
E9PKH6	NDUFS8
E9PKI8	TALDO1
E9PKK4	NCAPD3
E9PKK8	DPP3
E9PKL9	TSTA3
E9PKN0	PCF11
E9PKQ0	STRBP
E9PKQ1	COPB1
E9PKR8	SULT1A2
E9PKS9	TRAPPC4
E9PKU4	RPL8
E9PKV2	MRPL17
E9PKY4	TGFBR3
E9PKY6	NADSYN1
E9PKZ6	WDR47
E9PL18	KBTBD4
E9PL57	NEDD8-MDP1
E9PL58	GTF2H1
E9PL65	PUM1
E9PL69	RRM1
E9PL81	PRELID3B
E9PLA9	CAPRIN1
E9PLB2	IPO7
E9PLC4	ANP32E
E9PLH1	EPS8L2
E9PLI6	EIF1AD
E9PLL0	MVB12A
E9PLS4	PEX16
E9PLU0	PDHX
E9PLW6	AASDHPPT
E9PLX3	LAMTOR5
E9PM06	CHKA
E9PM14	NDUFC2
E9PM36	RPS2
E9PM67	INCENP
E9PM92	C11orf58
E9PMA0	AIFM1
E9PMD4	SSRP1
E9PMG4	WRAP53
E9PMH2	AIP
E9PMH5	BIRC2
E9PMS0	PITPNM1
E9PMS6	LMO7
E9PMT1	CASP4
E9PN04	DPF2
E9PN17	ATP5MG
E9PN39	MTFR2
E9PNA1	B3GAT3
E9PNC4	AP2A2
E9PNP4	RDX
E9PNQ0	FAM111A
E9PNR2	RIN1
E9PNR6	ARHGAP1
E9PNV3	RDX
E9PNW8	FAR1
E9PPH3	PTPRJ
E9PPP6	RRP8
E9PPW0	SOX13
E9PPY7	ARFIP2
E9PQ51	WEE1
E9PQ73	FAT3
E9PQB6	MRPL11
E9PQH5	CKAP5
E9PQI8	SART1
E9PQN9	IFITM2
E9PQP0	USP33
E9PQP6	FNTA
E9PQU5	RBM25
E9PQY2	PFDN4
E9PR05	KMT2A
E9PR16	NUP160
E9PR30	FAU
E9PRB3	DNTTIP2
E9PRY5	USP48
E9PRZ0	MAP2K3
E9PS27	FAM111B
E9PS41	WDR74
E9PS50	RPS13
E9PS62	FRMD8
E9PSF2	STIL
F2Z2A4	DNTTIP1
F2Z2B7	MED15
F2Z2C0	DIS3
F2Z2C9	CCNT2
F2Z2E2	IQGAP3
F2Z2I8	STOML2
F2Z2Q0	GATD3A
F2Z2T0	RABL6
F2Z2U4	TRRAP
F2Z2W6	HMGN1
F2Z2X4	XPO4
F2Z307	ATP6V1G2-DDX39B
F2Z356	GTF3C4
F2Z388	RPL35
F2Z3I4	ARRDC1
F2Z3J2	PSMD5
F2Z3L6	GUSB
F5GWA2	NUMA1
F5GWB7	NOP2
F5GWE5	PITPNA
F5GWF6	CCT2
F5GWF8	ATL3
F5GWG3	GPRC5A
F5GWH2	ACSL3
F5GWN5	PIK3C2B
F5GWN9	NOL8
F5GWT2	PDCD2
F5GWT4	WNK1
F5GWW2	LDHA
F5GWX2	HEBP1
F5GWX5	CHD4
F5GWY6	ELP2
F5GX14	MLEC
F5GX19	LAMTOR1
F5GX23	PSMD9
F5GX29	CHP1
F5GX40	PRKDC
F5GX58	CDCA3
F5GX64	IGHMBP2
F5GX73	MGST1
F5GX77	TRMT112
F5GX88	ENG
F5GXB1	RHOF
F5GXC1	PLCD3
F5GXD8	STIP1
F5GXF5	BPTF
F5GXG4	PGAM5
F5GXJ1	NDUFS7
F5GXJ9	ALCAM
F5GXL3	PUS1
F5GXM3	IST1
F5GXP4	ARL6IP1
F5GXQ0	BROX
F5GXR3	PTMS
F5GXS8	QKI
F5GXS9	WBP11
F5GXT5	IPO8
F5GXT7	COPS7A
F5GXU0	M6PR
F5GXU9	BCKDHA
F5GXW5	C12orf57
F5GXX3	PEX5
F5GXZ9	SOD2
F5GY05	FAM120B
F5GY34	PSMA8
F5GY40	NDUFA9
F5GY56	PRPF19
F5GYA2	UNG
F5GYF8	SIPA1L1
F5GYJ8	OTUB1
F5GYK2	STRN4
F5GYK6	ABCF1
F5GYK7	GPD2
F5GYL3	DDX24
F5GYM0	CMAS
F5GYQ1	ATP6V0D1
F5GYW0	CEP57
F5GYW6	XPOT
F5GZ39	UBC
F5GZ78	PXN
F5GZ90	DTL
F5GZH1	OLR1
F5GZH5	RIMKLB
F5GZI3	PARD3
F5GZT2	SPAG5
F5H008	VPS33B
F5H039	GPHN
F5H0C4	PAAF1
F5H0C8	ENO2
F5H0D0	EIF2B1
F5H0D2	CORO1B
F5H0N7	CLIP1
F5H0W7	NUP85
F5H0Y3	MLF2
F5H120	FKBP4
F5H1A3	TBK1
F5H1A5	SFSWAP
F5H1D6	POLE
F5H1F6	VPS37B
F5H1H2	CCAR1
F5H1N9	DDX47
F5H1R4	ARHGAP45
F5H1Y0	RAD51AP1
F5H1Y3	FEN1
F5H1Y4	GOPC
F5H257	GTPBP1
F5H2B9	UACA
F5H2F4	MTHFD1
F5H2L2	RECQL
F5H2T0	ELP1
F5H2V6	MARS1
F5H2X7	CIZ1
F5H303	NOC4L
F5H365	SEC23A
F5H3U7	NEK7
F5H3U9	MAGOHB
F5H3Y4	DHX37
F5H442	TSG101
F5H457	INTS13
F5H478	SAP30BP
F5H4B6	ALDH16A1
F5H4K4	CIT
F5H571	USP5
F5H578	PRPF40A
F5H5B4	STK4
F5H5D3	TUBA1C
F5H5N6	CLTCL1
F5H608	ATP5PD
F5H619	HEATR5A
F5H623	CARS2
F5H658	DHX8
F5H6E2	MYO1C
F5H6I0	B2M
F5H6I6	CAND1
F5H6J0	ANKLE2
F5H6T1	ACTR2
F5H6X6	GANAB
F5H6Y0	VPS33A
F6R503	DAB2IP
F6R6G4	RFX5
F6RFD5	DSTN
F6S9Y6	ACTR10
F6T1Q0	PDE12
F6U211	RPS10
F6U784	RAP2A
F6UXX1	SYNCRIP
F6VDH7	ST13
F6VX93	VPS53
F6WRY4	SPEN
F6XEV2	MICU1
F6XFR5	ABLIM1
F8VNT9	CD63
F8VNX8	TRAFD1
F8VNY2	PRIM1
F8VNY3	CBX5
F8VNY5	CCDC59
F8VP44	MCRS1
F8VP53	COQ5
F8VP66	PUS7L
F8VP72	ACTR6
F8VP94	TARBP2
F8VP97	CNOT2
F8VPD4	CAD
F8VPE8	RPLP0
F8VPP1	AK2
F8VPW3	SCYL2
F8VPY7	PPHLN1
F8VQD9	ATG101
F8VQF5	RACGAP1
F8VQP2	ATXN2
F8VQQ3	MYG1
F8VQQ8	UBE2N
F8VQS2	MON2
F8VQS9	RBMS2
F8VQX7	OSBPL8
F8VR69	RPL6
F8VR77	PA2G4
F8VRD8	NDUFA12
F8VRG3	TWF1
F8VRL4	NUDT4
F8VRQ4	SMARCD1
F8VRU2	POLR3B
F8VRU3	GATC
F8VRV5	DYNLL1
F8VRX4	DDX54
F8VS10	SPATS2
F8VS12	SARNP
F8VS35	OAS3
F8VSB9	NAA25
F8VTQ5	HNRNPA1
F8VTR4	YEATS4
F8VTV8	CDK4
F8VTY2	NUP37
F8VU39	BAZ2A
F8VU90	FKBP11
F8VUA6	RPL18
F8VUB6	AAAS
F8VUC5	COPZ1
F8VUX5	KANSL2
F8VUY0	TGIF1
F8VUY8	SLC38A2
F8VVA2	DDX23
F8VVI6	CPM
F8VVK3	RAB5C
F8VVL1	DENR
F8VVM2	SLC25A3
F8VVY7	USP15
F8VW28	PPP1R12A
F8VWL0	TFCP2
F8VWV2	APPL2
F8VWW7	SPRYD3
F8VWZ8	ARHGAP29
F8VXG7	SCAF11
F8VXI9	GIT2
F8VXJ7	CNPY2
F8VXK8	PAN2
F8VXU5	VPS29
F8VY02	ERP29
F8VY40	LARP4
F8VZW6	SMARCC2
F8VZY9	KRT18
F8W026	HSP90B1
F8W038	C17orf49
F8W079	ATP5F1B
F8W084	CPSF6
F8W108	ARID2
F8W1F4	GPN3
F8W1I9	ACAD10
F8W1M8	PAWR
F8W6C1	SPTBN1
F8W6G1	NRBP1
F8W6H6	MYO5A
F8W6N3	BAP1
F8W726	UBAP2L
F8W785	GOLIM4
F8W7F7	TMED4
F8W7R3	FANCI
F8W810	EIF2S3B
F8W881	FAM120C
F8W8D4	UBA3
F8W8E2	CYTH2
F8W8W7	TGOLN2
F8W914	RTN4
F8W930	IGF2BP2
F8W943	ASL
F8W9B8	EXOC5
F8W9G7	HAT1
F8W9T3	SNX4
F8WAE6	MED12L
F8WAT4	PAPOLG
F8WAX6	CIP2A
F8WB26	ZC3H15
F8WB66	SF3A1
F8WBE5	TFRC
F8WBH5	PSME4
F8WBH7	PSMG1
F8WBI3	PNPT1
F8WBJ6	PNO1
F8WBL2	BYSL
F8WBW6	PDAP1
F8WC32	DCUN1D1
F8WC37	RFC2
F8WC81	WDR75
F8WCE6	UGGT1
F8WCF1	DVL3
F8WCF6	ARPC4-TTLL3
F8WCH1	TTC27
F8WCK4	GARS1
F8WCU6	ABCF3
F8WCX2	ZNF687
F8WD09	GPN1
F8WD66	CCZ1B
F8WDI0	ATG3
F8WDJ2	RAB3GAP2
F8WDM3	MCM2
F8WDN2	TXN2
F8WDN3	CFL2
F8WDN5	BRAT1
F8WDT8	DDX56
F8WE13	SMARCC1
F8WE33	NCEH1
F8WE37	FANCD2
F8WE41	NCBP2
F8WE49	RAD18
F8WE72	SBDS
F8WEC0	MMADHC
F8WED0	NOP58
F8WEE0	DRG1
F8WEI0	PYCR3
F8WEU3	LUC7L2
F8WF45	TMF1
F8WF49	DLGAP4
F8WF70	NIT2
F8WFC6	LSG1
G3V0G5	ANKMY2
G3V159	HPS5
G3V1B3	RPL21
G3V1B6	APOO
G3V1D4	LIN7C
G3V1E2	SDF4
G3V1L6	FERMT1
G3V1L9	TJP1
G3V1M7	ACADVL
G3V1R7	SLC27A2
G3V1S1	ERCC3
G3V1S6	GALNT2
G3V1T4	NUP107
G3V220	TCERG1
G3V227	WARS1
G3V231	PPP4R3A
G3V234	RDH11
G3V235	CCNK
G3V240	ZC3H14
G3V274	BAG5
G3V279	ERH
G3V281	FERMT2
G3V286	NFKBIA
G3V295	PSMA6
G3V2H0	ERO1A
G3V2H2	KLHDC2
G3V2H3	PNP
G3V2I1	CKB
G3V2I8	ZBTB1
G3V2J8	HSP90AA1
G3V2J9	TTLL5
G3V2K4	BEGAIN
G3V2K7	TMED10
G3V2N6	TUBB3
G3V2S6	ATP6V1D
G3V2S9	SLIRP
G3V2U3	PPP2R5C
G3V2X0	SUPT16H
G3V340	STRN3
G3V359	APEX1
G3V3A4	SNW1
G3V3C0	ITPK1
G3V3F0	DLST
G3V3K3	PSMB5
G3V3M5	NUMB
G3V3N7	PRC1
G3V3R6	LGALS3
G3V3W4	PSMA3
G3V3W9	AHSA1
G3V448	TMX1
G3V480	SRP54
G3V4C6	RTRAF
G3V4D1	RNF34
G3V4D9	NEMF
G3V4E5	DLGAP5
G3V4G1	NGDN
G3V4K2	KRAS
G3V4M4	ALKBH1
G3V4P8	GMFB
G3V4V5	HECTD1
G3V4W4	GNPNAT1
G3V4X1	PSMC1
G3V578	NDRG2
G3V579	PNN
G3V583	FAM177A1
G3V599	MIA2
G3V5E5	EIF2B2
G3V5F2	FKBP3
G3V5H2	LRR1
G3XAG3	CDKN2A
G3XAK4	PON2
G3XAL0	MDH2
G3XAL9	SLC12A2
G5E972	TMPO
G5E994	GPR107
G5E9A6	USP11
G5E9C7	MAP2K2
G5E9C8	SOS1
G5E9E9	DTYMK
G5E9G4	TTC7A
G5E9K5	MIS18BP1
G5E9N2	TRO
G5E9U8	PARP9
G5E9U9	PARP12
G5E9V4	HPS3
G5EA31	SEC24C
G5EA48	SRGAP1
G8JL96	PTPRS
G8JLA1	RDH13
G8JLD3	ERC1
G8JLG1	SMC1A
G8JLH9	STAT3
H0Y2S1	GTPBP6
H0Y2W2	ATAD3A
H0Y307	KIF13A
H0Y327	MTHFD1L
H0Y339	COP1
H0Y368	DPM1
H0Y390	MACF1
H0Y3M2	ZNF207
H0Y3V8	SGPL1
H0Y3V9	RPL36A-HNRNPH2
H0Y3Z4	NCSTN
H0Y412	PRRC2B
H0Y430	QSOX2
H0Y432	CEP55
H0Y450	RARS2
H0Y465	NF1
H0Y470	CCDC88A
H0Y488	ARID1A
H0Y4M5	GTPBP2
H0Y4R4	TOR1AIP1
H0Y4T6	PIN4
H0Y4U8	TFIP11
H0Y512	APMAP
H0Y517	CC2D1B
H0Y551	TRIM27
H0Y564	ANAPC1
H0Y566	KCTD3
H0Y579	RAD23B
H0Y580	EIF2B3
H0Y5R6	UROD
H0Y5U0	PCCA
H0Y5V1	CDC42BPA
H0Y613	GSE1
H0Y614	UFM1
H0Y653	NOP56
H0Y659	HUWE1
H0Y6H0	KDM1B
H0Y6I6	FBXL18
H0Y6T8	RAB18
H0Y6Y5	MTX1
H0Y704	ZNF185
H0Y711	WDR77
H0Y720	TNRC6B
H0Y721	CDK5RAP1
H0Y764	NBEAL2
H0Y789	TIMP1
H0Y7C8	TOR1B
H0Y7E8	GNAS
H0Y7F7	CEP350
H0Y7G9	HTRA1
H0Y7N4	DOCK5
H0Y7W6	FNBP1
H0Y815	THOC2
H0Y837	NUP214
H0Y875	CALU
H0Y895	ARHGEF5
H0Y8B3	AHCYL2
H0Y8H4	NEDD4
H0Y8K3	CDV3
H0Y8L3	TGFBI
H0Y8N7	MRPL1
H0Y8Q2	DNAJC13
H0Y8S4	OTULIN
H0Y8W1	ZFR
H0Y917	WDR26
H0Y983	LAP3
H0Y9B6	HEXB
H0Y9K7	SFPQ
H0Y9L6	PDS5A
H0Y9L8	RIOX2
H0Y9M8	NDUFS4
H0Y9Q6	CLTB
H0Y9Y8	RUFY1
H0YA52	PCBD2
H0YAB0	LMNA
H0YAE0	C5orf24
H0YAI9	NSA2
H0YAL2	TRIP13
H0YAR1	LOXL2
H0YAS9	EMC2
H0YAT1	SH2D4A
H0YB37	TTC1
H0YB81	MTO1
H0YBE8	WWC1
H0YBF7	ASAP1
H0YBM0	AP3M2
H0YBN5	VIRMA
H0YBV6	MAK16
H0YC63	MTUS1
H0YCD2	POLG
H0YCE8	CTR9
H0YCG0	SCRIB
H0YCI3	YAP1
H0YCN2	RSF1
H0YCQ7	QSER1
H0YCR0	NUP98
H0YCS0	SNTB2
H0YCV6	OSBP
H0YCY8	CTSC
H0YCZ2	KNL1
H0YD14	MYOF
H0YD52	CLINT1
H0YD93	RUFY2
H0YDD8	RPLP2
H0YDG7	PPP2R1B
H0YDJ3	PRPF4B
H0YDP6	GEMIN2
H0YDS0	UBQLN1
H0YDT8	EMC7
H0YDZ7	GDA
H0YE54	GOLGA1
H0YEP3	NPEPL1
H0YEV9	MYO18A
H0YF12	PTPN11
H0YF68	TAOK3
H0YFD6	HADHA
H0YFX9	H2AJ
H0YG27	TRIM65
H0YG79	CCDC86
H0YG82	MRPS35
H0YGH1	PFAS
H0YGJ7	EIF3J
H0YGV8	PSMD3
H0YH15	AQR
H0YH69	ETNK1
H0YHF6	FBXO21
H0YHS6	YARS2
H0YHT2	KIF21A
H0YI90	DDI2
H0YIB4	SRSF9
H0YIN8	ANKRD13A
H0YIQ2	YLPM1
H0YIW2	ANAPC7
H0YJ21	DYNC1H1
H0YJ50	VRK1
H0YJ64	PLEK2
H0YJ92	MNAT1
H0YJ97	TRIP11
H0YJC0	PSMC6
H0YJC9	ASXL1
H0YJG4	CHD8
H0YJU4	YY1
H0YJV2	SPTLC2
H0YJZ6	DICER1
H0YK07	CLPX
H0YK11	EIF5
H0YK33	CRTC3
H0YK36	DPP8
H0YK42	SNX1
H0YK49	ETFA
H0YK61	EMC4
H0YK93	IPO4
H0YK94	AP4E1
H0YKA7	NUSAP1
H0YKB0	SPG21
H0YKB3	SORD
H0YKC5	DUT
H0YKD8	RPL28
H0YKF8	KNSTRN
H0YKH2	SLTM
H0YKI8	TNFAIP2
H0YKK0	SNRPA1
H0YKK6	PSME1
H0YKN8	TLE3
H0YKS0	PSMA4
H0YKT4	SEC11A
H0YKU1	TMOD3
H0YKU2	PSME2
H0YKV1	USP8
H0YKV4	CIAO2A
H0YKX0	RNF31
H0YKX1	RTF1
H0YKX3	PCLAF
H0YL19	WDR61
H0YL71	SMAD3
H0YL94	RAB8B
H0YL99	MRPS11
H0YLA2	SRP14
H0YLC7	FAH
H0YLE0	IREB2
H0YLE5	MYO1E
H0YLG5	RMDN3
H0YLI4	MESD
H0YLM6	VPS18
H0YLM8	DMXL2
H0YLQ7	DNAJC17
H0YLV8	BLM
H0YM92	LDLR
H0YME5	EIF2AK4
H0YMH7	CTDSPL2
H0YMP3	CCNB2
H0YMT1	TLN2
H0YMT3	WDR73
H0YN10	IVD
H0YN26	ANP32A
H0YN64	MRPL46
H0YN73	RPS17
H0YN78	CCDC32
H0YNA1	FAM98B
H0YNA7	SPPL2A
H0YNN5	LACTB
H3BLU7	AKR7A2
H3BLZ8	DDX17
H3BM18	IFI16
H3BM38	SNAP23
H3BM42	GLG1
H3BM50	MLST8
H3BM73	ADGRG1
H3BM75	MEAK7
H3BM88	PDXDC1
H3BM91	COMMD4
H3BM92	PMM2
H3BM93	NUP93
H3BMA1	MSLN
H3BMA2	SIN3A
H3BMB0	SF3B3
H3BMB8	EDC3
H3BMC9	KNOP1
H3BMD2	CPT1A
H3BMF3	METTL26
H3BMG9	RIPOR1
H3BMI8	TERF2IP
H3BMJ2	C15orf39
H3BMJ8	TCF25
H3BMM9	RNPS1
H3BMP3	E2F4
H3BMQ0	TSC2
H3BMQ1	PFDN5
H3BMQ2	RSL24D1
H3BMQ5	DDX19B
H3BMQ8	ALDOA
H3BMR3	NAE1
H3BMR4	POLR3E
H3BMS6	SQOR
H3BMW1	NUBP2
H3BMW9	XPO6
H3BMX9	PSME3IP1
H3BMZ1	HACD3
H3BN26	SEZ6L2
H3BN34	PKM
H3BN55	RAB27A
H3BN62	BCAR1
H3BN66	ADPGK
H3BN72	COX4I1
H3BN88	TBL3
H3BNA1	USP10
H3BNB9	ARIH1
H3BNC0	PRMT7
H3BND3	NUDT21
H3BNF2	MVP
H3BNH3	TAF1C
H3BNI9	CSNK2A2
H3BNK3	NDUFAB1
H3BNT2	COQ9
H3BNU3	TUFM
H3BNV7	CIAO2B
H3BNW0	THUMPD1
H3BNX8	COX5A
H3BP04	UQCRC2
H3BP13	TRAPPC2L
H3BP16	HAUS2
H3BP20	HEXA
H3BP28	COQ7
H3BP52	MGA
H3BPD7	UTP4
H3BPG7	CIAPIN1
H3BPJ9	NDUFB10
H3BPK7	AARS1
H3BPQ6	HDGFL3
H3BPS9	NOMO2
H3BPU4	TUBGCP4
H3BPV7	KARS1
H3BQ89	PHKB
H3BQ94	NPTN
H3BQB1	APRT
H3BQB9	KIF22
H3BQG1	CLK3
H3BQH3	KLHDC4
H3BQI7	HSDL1
H3BQN7	SMG1
H3BQQ2	ZNF598
H3BQR0	SNUPN
H3BQZ7	HNRNPUL2-BSCL2
H3BR02	OGFOD1
H3BR06	TERF2
H3BR35	GSPT1
H3BR94	DCTN5
H3BRB0	ATXN2L
H3BRD0	GTF3C1
H3BRE8	RPAP1
H3BRG9	HERC2
H3BRH4	EEF2K
H3BRL9	NTHL1
H3BRR2	POLR2C
H3BRS3	TELO2
H3BRX7	ESPL1
H3BS70	ECI1
H3BS86	STUB1
H3BSE1	TBC1D10B
H3BSK8	RBBP6
H3BST5	RHOT2
H3BT12	FEM1B
H3BT22	ORC6
H3BT29	PML
H3BT37	RPS15A
H3BT58	COTL1
H3BTA2	PPP4C
H3BTH3	RPL13
H3BTH6	FBXO22
H3BTW3	CHD9
H3BTW5	DENND4A
H3BUC4	UBR1
H3BUM4	DYNC1LI2
H3BUM9	CSK
H3BUR4	NOB1
H3BUV9	UBL7
H3BVI2	SP1
H7BXF3	TRA2B
H7BXJ4	FCHO2
H7BXU7	JMJD1C
H7BXY3	DHX30
H7BXZ6	RHOT1
H7BY83	WDR44
H7BY84	GTF3C5
H7BYH4	SOD1
H7BYL6	AKAP9
H7BYN3	TFAM
H7BYT1	CSNK1D
H7BYY2	BCOR
H7BYZ9	MTARC1
H7BZ16	RETSAT
H7BZE2	TRIP6
H7BZF9	KDM5D
H7BZM7	ZPR1
H7BZQ3	OTUD5
H7BZT7	ESD
H7BZW7	CDC123
H7C086	ATP5PO
H7C0B2	GLCCI1
H7C0C0	GTF3C3
H7C0C7	CNOT11
H7C0D0	CYP51A1
H7C0D5	YIPF4
H7C0G1	TMEM245
H7C0J3	CHD3
H7C0R6	THUMPD3
H7C0R7	CYB5R1
H7C0U8	SRRT
H7C0V0	MAIP1
H7C0V8	SEC23IP
H7C109	DHX57
H7C148	CNOT3
H7C153	P4HTM
H7C199	OSBPL10
H7C1B7	CAPN7
H7C1E5	TRAPPC12
H7C1I7	ZMYM4
H7C1J4	UHRF1BP1
H7C1J8	HNRNPA3
H7C1L3	MIDEAS
H7C1L6	CUL3
H7C1M2	SON
H7C1Z3	NOL10
H7C256	SLC4A1AP
H7C2A3	PCNT
H7C2B1	NOL7
H7C2J0	MRPL19
H7C2M9	USP9Y
H7C2Q8	EBNA1BP2
H7C2R4	UTP25
H7C2U0	CCT8
H7C2V0	FADS1
H7C3E5	MED14
H7C444	IFRD2
H7C452	DDX18
H7C4F6	KPNA4
H7C4H2	SRPRB
H7C4S1	AHCTF1
H7C4W1	ITGB5
H7C4X9	ZMYND8
H7C4Y3	PARP14
H7C595	STAG1
H7C597	SND1
H7C5E3	THOC7
H7C5H5	MFN1
H7C5J3	USP13
H7C5K0	HLTF
H7C5L8	TP53BP2
H7C5S6	LRWD1
H7C5T3	CCDC14
H7C5W9	ATP2A2
H7C603	SNX27
H9KVC1	FYTTD1
H9ZYI9	GABPB1
I3L0J9	PRPF8
I3L0K2	TXNDC17
I3L0K6	AKAP1
I3L0K7	TRAP1
I3L0L3	NSF
I3L0M5	DHX33
I3L0M7	DVL2
I3L0N7	SRRM2
I3L0Q1	CREBBP
I3L0Q5	SPAG7
I3L0R3	FLYWCH1
I3L0S5	GAA
I3L0T4	ACOX1
I3L0T6	MRM3
I3L0U2	PRSS21
I3L0U5	CCDC137
I3L0V3	TBCD
I3L156	PIMREG
I3L159	HMOX2
I3L165	HGS
I3L172	MCRIP2
I3L1A3	RSL1D1
I3L1C4	PCYT2
I3L1D2	MPDU1
I3L1H5	DPH1
I3L1L3	MYBBP1A
I3L1P8	SLC25A11
I3L1Q5	TSR1
I3L1T6	DNAJA3
I3L1U9	ACTG1
I3L1Y8	NMRAL1
I3L1Z2	FXR2
I3L1Z9	ANKFY1
I3L223	LRRC59
I3L254	TFAP4
I3L297	CRK
I3L2B8	RABEP1
I3L2F4	EDC4
I3L2K5	ZC3H7A
I3L2M5	RPA1
I3L2R3	NDE1
I3L2T9	MLKL
I3L2X1	MRPL20
I3L318	CLUH
I3L320	DNAJA2
I3L362	METTL16
I3L3D5	PFN1
I3L3H9	RNF213
I3L3Q3	ZZEF1
I3L3S0	TRAPPC1
I3L3X7	PSMB6
I3L3Y9	GPS2
I3L3Z1	SHCBP1
I3L436	RPTOR
I3L495	PAFAH1B1
I3L4C5	UBE2Z
I3L4G3	NDC80
I3L4X2	ABCC1
O00115	DNASE2
O00151	PDLIM1
O00186	STXBP3
O00203	AP3B1
O00231	PSMD11
O00232	PSMD12
O00257	CBX4
O00264	PGRMC1
O00273	DFFA
O00299	CLIC1
O00311	CDC7
O00411	POLRMT
O00443	PIK3C2A
O00472	ELL2
O00483	NDUFA4
O00487	PSMD14
O00499	BIN1
O00505	KPNA3
O00566	MPHOSPH10
O00592	PODXL
O00625	PIR
O00712	NFIB
O00762	UBE2C
O14579	COPE
